timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1578491303727,81,Search-1,200,OK,Main 1-9,text,true,,95351,457,15,15,https://www.bing.com:443/?toWww=1&redig=6E4D56BD93A54854A7DAB782F3BC898D,79,0,0
1578491303517,350,Search,200,OK,Main 1-3,text,true,,97533,829,15,15,https://www.bing.com:443/?toWww=1&redig=DCC96DF7D11740B7A46227D94959BD86,99,0,38
1578491303517,99,Search-0,301,,Main 1-3,text,true,,1011,113,15,15,https://bing.com/,99,0,38
1578491303617,230,Search-1,200,OK,Main 1-3,text,true,,95870,276,15,15,https://www.bing.com:443/?toWww=1&redig=DCC96DF7D11740B7A46227D94959BD86,214,0,33
1578491303849,18,Search-2,200,OK,Main 1-3,bin,true,,652,440,15,15,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
1578491303669,268,Login,200,OK,Main 1-15,text,true,,97533,829,16,16,https://www.bing.com:443/?toWww=1&redig=13A01FDB5D4F405395BBF18E99925F9B,100,0,38
1578491303669,100,Login-0,301,,Main 1-15,text,true,,1011,113,16,16,https://bing.com/,100,0,38
1578491303769,148,Login-1,200,OK,Main 1-15,text,true,,95870,276,16,16,https://www.bing.com:443/?toWww=1&redig=13A01FDB5D4F405395BBF18E99925F9B,110,0,34
1578491303918,19,Login-2,200,OK,Main 1-15,bin,true,,652,440,16,16,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,19,0,0
1578491303916,253,Login,200,OK,Main 1-16,text,true,,97533,829,17,17,https://www.bing.com:443/?toWww=1&redig=A7CB9BD178C7422BAD30EEA91BD77570,103,0,36
1578491303916,103,Login-0,301,,Main 1-16,text,true,,1011,113,17,17,https://bing.com/,103,0,36
1578491304019,130,Login-1,200,OK,Main 1-16,text,true,,95870,276,17,17,https://www.bing.com:443/?toWww=1&redig=A7CB9BD178C7422BAD30EEA91BD77570,112,0,33
1578491304151,18,Login-2,200,OK,Main 1-16,bin,true,,652,440,17,17,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
1578491304067,144,Search,200,OK,Main 1-10,text,true,,95944,859,17,17,https://www.bing.com:443/?toWww=1&redig=FDA4758DCAD34ED9A4BB9E4E5939F380,63,0,0
1578491304067,63,Search-0,301,,Main 1-10,text,true,,593,402,17,17,https://bing.com/,63,0,0
